Project,Core Area,Repository,URL-Link,Accountable Engineering Manager,Exit Plan,Exit Date,Exit Plan State,Post 3/31 Exit Justification,ID
"Cloud Automation","Infrastructure","ALM.UC.Provider","https://dev.azure.com/geico/Cloud%20Automation/_git/ALM.UC.Provider","Chauhan, Vipul","Immediately Archive","2/12/2024","Not Started",,"31"
"DirectNet Modernization","Core Claims Platforms","ALM_Sample_Repo","https://dev.azure.com/geico/DirectNet%20Modernization/_git/ALM_Sample_Repo",,,,"Not Started",,"32"
"Cloud Automation","Infrastructure","ALMFramework.IaaS.ALM.Provider","https://dev.azure.com/geico/Cloud%20Automation/_git/ALMFramework.IaaS.ALM.Provider","Bhatt, Hiren","Plan to Sunset","3/31/2024","Not Started",,"33"
"Cloud Automation","Infrastructure","ALMFramework.Orchestrator","https://dev.azure.com/geico/Cloud%20Automation/_git/ALMFramework.Orchestrator","Chauhan, Vipul",,,"Not Started",,"34"
"Cloud Automation","Infrastructure","ALMFramework.UI","https://dev.azure.com/geico/Cloud%20Automation/_git/ALMFramework.UI","Chauhan, Vipul",,,"Not Started",,"35"
"K027- All","Infrastructure","AltMan.Api","https://dev.azure.com/geico/K027-%20All/_git/AltMan.Api","Mohamed, Abdulemenan","Immediately Archive","2/12/2024","Not Started",,"36"
"Umbrella","Digital Engineering","Api","https://dev.azure.com/geico/Umbrella/_git/Api","Veerappan, Bala","Immediately Archive","1/31/2024","Completed",,"37"
"Umbrella","Digital Engineering","API- WebApp","https://dev.azure.com/geico/Umbrella/_git/API-%20WebApp","Veerappan, Bala","Plan to refactor into .NET Open Source","6/20/2024","In Progress","<div class=""ExternalClassD5F55DDB2CA64FA9A64BE1F12DCBB507""><div style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;font-size&%2358;11pt;color&%2358;rgb(0, 0, 0);"">Umbrella will be sunset with the sunset of Duck Creek, potentially in 2026 but we want to upgrade to .Net 8 to move away from .Net framework.&%23160; Resources are currently tied up with other priorities.</div></div>","38"
"IBU.Multiline","Core Insurance Platforms","API.BOFAPI","https://dev.azure.com/geico/IBU.Multiline/_git/API.BOFAPI",,,,"Not Started",,"39"
"IBU.Multiline","Core Insurance Platforms","API.CISAPI","https://dev.azure.com/geico/IBU.Multiline/_git/API.CISAPI",,,,"Not Started",,"40"
"IBU.Multiline","Core Insurance Platforms","API.MCSAPI","https://dev.azure.com/geico/IBU.Multiline/_git/API.MCSAPI","Maknojia, Rahil","Immediately Archive","2/19/2024","Not Started",,"41"
"IBU.Multiline","Core Insurance Platforms","API.MDSAPI","https://dev.azure.com/geico/IBU.Multiline/_git/API.MDSAPI","Maknojia, Rahil","Plan to refactor into .NET Open Source","6/30/2024","Not Started","<div class=""ExternalClassF777FC0F43FA4FD38D8E61930EBD77CE""><div style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;font-size&%2358;11pt;color&%2358;rgb(0, 0, 0);"">LM 2.0 Phase 4 Rollout</div></div>","42"
"IBU.Multiline","Core Insurance Platforms","API.MSSAPI","https://dev.azure.com/geico/IBU.Multiline/_git/API.MSSAPI",,,,"Not Started",,"43"
"IBU.Multiline","Core Insurance Platforms","API.MULBRO","https://dev.azure.com/geico/IBU.Multiline/_git/API.MULBRO",,,,"Not Started",,"44"
"IBU.Multiline","Core Insurance Platforms","API.PRPAPI","https://dev.azure.com/geico/IBU.Multiline/_git/API.PRPAPI","Maknojia, Rahil","Plan to refactor into .NET Open Source","3/31/2024","Not Started",,"45"
"IBU.Multiline","Core Insurance Platforms","API.PRPEXT.MLSGWY","https://dev.azure.com/geico/IBU.Multiline/_git/API.PRPEXT.MLSGWY",,,,"Not Started",,"46"
"IBU.Multiline","Core Insurance Platforms","API.PRPMCI","https://dev.azure.com/geico/IBU.Multiline/_git/API.PRPMCI","Maknojia, Rahil","Plan to refactor into .NET Open Source","6/30/2024","Not Started","<div class=""ExternalClass4D1F12DAFDA1473CB2859F37572A90B7""><div style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;font-size&%2358;11pt;color&%2358;rgb(0, 0, 0);"">LM 2.0 Phase 4 Rollout</div></div>","47"
"IBU.Multiline","Core Insurance Platforms","API.PRSAPI","https://dev.azure.com/geico/IBU.Multiline/_git/API.PRSAPI","Maknojia, Rahil","Plan to refactor into .NET Open Source","6/30/2024","Not Started","<div class=""ExternalClass023BDBDD94F04C3DA309533710BED980""><div style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;font-size&%2358;11pt;color&%2358;rgb(0, 0, 0);"">LM 2.0 Phase 4 Rollout</div></div>","48"
"IBU.Multiline","Core Insurance Platforms","API.XSSAPI","https://dev.azure.com/geico/IBU.Multiline/_git/API.XSSAPI","Maknojia, Rahil","Plan to refactor into .NET Open Source","5/15/2024","Not Started","<div class=""ExternalClass8FB171E5771D409A9E2382E86BFAC2D7""><div style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;font-size&%2358;11pt;color&%2358;rgb(0, 0, 0);"">LM 2.0 Phase 4 Roll out to continue go over 3/31.</div></div>","49"
"Enterprise Integration","Exchange Platform","apim.dacpac.poc","https://dev.azure.com/geico/Enterprise%20Integration/_git/apim.dacpac.poc","Singh, Baljit","Plan to refactor into .NET Open Source","3/29/2024","Not Started",,"50"
"Modernization Testing","Core Insurance Platforms","ApiTestingFramework","https://dev.azure.com/geico/Modernization%20Testing/_git/ApiTestingFramework",,,,"Not Started",,"51"
"Modernization Testing","Core Insurance Platforms","ApplePay","https://dev.azure.com/geico/Modernization%20Testing/_git/ApplePay",,,,"Not Started",,"52"
"Cloud Automation","Infrastructure","ApplicationDashboard","https://dev.azure.com/geico/Cloud%20Automation/_git/ApplicationDashboard","Chauhan, Vipul","Immediately Archive","2/8/2024","Not Started",,"53"
"IT Sales Interfaces","Core Insurance Platforms","AqsQueue","https://dev.azure.com/geico/IT%20Sales%20Interfaces/_git/AqsQueue","Coulter, Adam","Plan to Sunset","3/31/2024","Not Started",,"54"
"BoatUS","Digital Engineering","ARCCMiddleWare","https://dev.azure.com/geico/BoatUS/_git/ARCCMiddleWare","Owens, Brian","Plan to Sunset","2/1/2024","Completed",,"55"
"ERS Outage Modernization","Core Claims Platforms","Archive.ADCW_App","https://dev.azure.com/geico/ERS%20Outage%20Modernization/_git/Archive.ADCW_App","Nuvvala, Srinivasa","Immediately Archive","2/28/2024","Completed","<div class=""ExternalClass4FF890DE1DF045A7B0D8C10BC4152B83""><div style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;font-size&%2358;11pt;color&%2358;rgb(0, 0, 0);""><br></div></div>","56"
"ERS Outage Modernization","Core Claims Platforms","Archive.ADCW_Service","https://dev.azure.com/geico/ERS%20Outage%20Modernization/_git/Archive.ADCW_Service","Nuvvala, Srinivasa","Immediately Archive","2/29/2024","Completed","<div class=""ExternalClassAE4331738E8040FFA4A0D71956B91279""><div style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;font-size&%2358;11pt;color&%2358;rgb(0, 0, 0);""><br></div></div>","57"
"IT Claims","Core Claims Platforms","Archive.DCD_SSIS_Import","https://dev.azure.com/geico/IT%20Claims/_git/Archive.DCD_SSIS_Import","Nuvvala, Srinivasa","Immediately Archive","2/29/2024","Completed",,"58"
"IT Claims","Core Claims Platforms","Archive.DCD_SSIS_ProviderImport","https://dev.azure.com/geico/IT%20Claims/_git/Archive.DCD_SSIS_ProviderImport","Nuvvala, Srinivasa","Immediately Archive","2/29/2024","Completed",,"59"
"IT Claims","Core Claims Platforms","Archive.DCD_SSIS_SendAgingReport","https://dev.azure.com/geico/IT%20Claims/_git/Archive.DCD_SSIS_SendAgingReport","Nuvvala, Srinivasa","Immediately Archive","2/29/2024","Completed",,"60"
"ERS Outage Modernization","Core Claims Platforms","Archive.DetailedClaimsDB","https://dev.azure.com/geico/ERS%20Outage%20Modernization/_git/Archive.DetailedClaimsDB","Nuvvala, Srinivasa","Immediately Archive","2/29/2024","Completed",,"61"
"ERS Outage Modernization","Core Claims Platforms","Archive.FNOLOutage_App","https://dev.azure.com/geico/ERS%20Outage%20Modernization/_git/Archive.FNOLOutage_App","Nuvvala, Srinivasa","Plan to Sunset","3/31/2024","In Progress",,"62"
"ERS Outage Modernization","Core Claims Platforms","Archive.GCAD","https://dev.azure.com/geico/ERS%20Outage%20Modernization/_git/Archive.GCAD","Nuvvala, Srinivasa","Immediately Archive","2/29/2024","Completed",,"63"
"IT Claims","Core Claims Platforms","Archive.GCAD_SSIS_ ISOTheftEmailVerify","https://dev.azure.com/geico/IT%20Claims/_git/Archive.GCAD_SSIS_%20ISOTheftEmailVerify","Nuvvala, Srinivasa","Immediately Archive","2/29/2024","Completed",,"64"
"IT Claims","Core Claims Platforms","Archive.GCAD_SSIS_ADSuppAgedTransaction","https://dev.azure.com/geico/IT%20Claims/_git/Archive.GCAD_SSIS_ADSuppAgedTransaction","Nuvvala, Srinivasa","Immediately Archive","2/29/2024","Completed",,"65"
"IT Claims","Core Claims Platforms","Archive.GCAD_SSIS_CIQAdjusterEmailSystem","https://dev.azure.com/geico/IT%20Claims/_git/Archive.GCAD_SSIS_CIQAdjusterEmailSystem","Nuvvala, Srinivasa","Immediately Archive","2/29/2024","Completed",,"66"
"IT Claims","Core Claims Platforms","Archive.GCAD_SSIS_DTSVerification","https://dev.azure.com/geico/IT%20Claims/_git/Archive.GCAD_SSIS_DTSVerification","Nuvvala, Srinivasa","Immediately Archive","2/29/2024","Completed",,"67"
"IT Claims","Core Claims Platforms","Archive.GCAD_SSIS_MIPExtract2","https://dev.azure.com/geico/IT%20Claims/_git/Archive.GCAD_SSIS_MIPExtract2","Nuvvala, Srinivasa","Immediately Archive","2/29/2024","Completed",,"68"
"ERS Outage Modernization","Core Claims Platforms","Archive.MRB","https://dev.azure.com/geico/ERS%20Outage%20Modernization/_git/Archive.MRB","Nuvvala, Srinivasa","Immediately Archive","2/29/2024","Completed",,"69"
"IT Claims","Core Claims Platforms","Archive.MRB_SSIS_CreateSourceFile","https://dev.azure.com/geico/IT%20Claims/_git/Archive.MRB_SSIS_CreateSourceFile","Nuvvala, Srinivasa","Immediately Archive","2/29/2024","Completed",,"70"
"IT Claims","Core Claims Platforms","Archive.MRB_SSIS_DailyAudit","https://dev.azure.com/geico/IT%20Claims/_git/Archive.MRB_SSIS_DailyAudit","Nuvvala, Srinivasa","Immediately Archive","2/29/2024","Completed",,"71"
"IT Claims","Core Claims Platforms","Archive.MRB_SSIS_LoadBatchListings","https://dev.azure.com/geico/IT%20Claims/_git/Archive.MRB_SSIS_LoadBatchListings","Nuvvala, Srinivasa","Immediately Archive","2/29/2024","Completed",,"72"
"IT Claims","Core Claims Platforms","Archive.MRB_SSIS_ProcessExtract","https://dev.azure.com/geico/IT%20Claims/_git/Archive.MRB_SSIS_ProcessExtract","Nuvvala, Srinivasa","Immediately Archive","2/29/2024","Completed",,"73"
"IT Claims","Core Claims Platforms","Archive.MRB_SSIS_ProcessResponse","https://dev.azure.com/geico/IT%20Claims/_git/Archive.MRB_SSIS_ProcessResponse","Nuvvala, Srinivasa","Immediately Archive","2/29/2024","Completed",,"74"
"ERS Outage Modernization","Core Claims Platforms","Archive.SICM","https://dev.azure.com/geico/ERS%20Outage%20Modernization/_git/Archive.SICM","Nuvvala, Srinivasa","Immediately Archive","2/29/2024","Completed",,"75"
"Cloud Automation","Infrastructure","Archive_Codebase","https://dev.azure.com/geico/Cloud%20Automation/_git/Archive_Codebase","Chauhan, Vipul","Immediately Archive","2/8/2024","Not Started",,"76"
"DirectNet Modernization","Core Claims Platforms","ARR","https://dev.azure.com/geico/DirectNet%20Modernization/_git/ARR",,,,"Not Started",,"77"
"Underwriting Systems","Core Insurance Platforms","ART-ARTS","https://dev.azure.com/geico/Underwriting%20Systems/_git/ART-ARTS","Moturi, Mounika","Plan to refactor into .NET Open Source","6/30/2024","Not Started","<div class=""ExternalClass2AF1C612FBAB4988BFEC98F3CD07E8AE""><div style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;font-size&%2358;11pt;color&%2358;rgb(0, 0, 0);"">Underwriting Systems/Ratabase team owns 61 repos that are to be updated to .NET 8 framework.&%23160;<span style=""font-family&%2358;Calibri, sans-serif;font-size&%2358;11pt;"">We have prioritized them such that we can first target tier
1 applications to ensure their workspace is setup in Visual Studio Code. Our
timeline to finish all repos for .NET exit initiative extends until end of Q2.
I’m working to arrange and pin a date for each of the repos.</span></div></div>","78"
"Underwriting Systems","Core Insurance Platforms","ART-ARTS-GoldCopy","https://dev.azure.com/geico/Underwriting%20Systems/_git/ART-ARTS-GoldCopy","Moturi, Mounika","Immediately Archive","2/16/2024","Completed",,"79"
"Underwriting Systems","Core Insurance Platforms","ART-ArtsMetaDataDataFix","https://dev.azure.com/geico/Underwriting%20Systems/_git/ART-ArtsMetaDataDataFix","Moturi, Mounika","Immediately Archive","2/16/2024","Completed",,"80"
"Underwriting Systems","Core Insurance Platforms","ART-ArtsMetaDataDB","https://dev.azure.com/geico/Underwriting%20Systems/_git/ART-ArtsMetaDataDB","Moturi, Mounika","Plan to refactor into .NET Open Source","6/30/2024","Not Started","<div class=""ExternalClass4ED1EA8952634AD8B740DBE3392CE094""><div style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;font-size&%2358;11pt;color&%2358;rgb(0, 0, 0);""><p style=""margin&%2358;0in;"">Underwriting
Systems/Ratabase team owns 61 repos that are to be updated to .NET 8
framework.&%23160;<span style=""background&%2358;white;"">We have prioritized them such
that we can first target tier 1 applications to ensure their workspace is setup
in Visual Studio Code. Our timeline to finish all repos for .NET exit
initiative extends until end of Q2. I’m working to arrange and pin a date for
each of the repos.</span></p><br></div></div>","81"
"Underwriting Systems","Core Insurance Platforms","ART-ARTSStatusChecker","https://dev.azure.com/geico/Underwriting%20Systems/_git/ART-ARTSStatusChecker","Moturi, Mounika","Plan to refactor into .NET Open Source","6/30/2024","Not Started","<div class=""ExternalClass1CFF22FA5D6F4FD3BC997E9C84BC5E28""><div style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;font-size&%2358;11pt;color&%2358;rgb(0, 0, 0);""><p style=""margin&%2358;0in;"">Underwriting
Systems/Ratabase team owns 61 repos that are to be updated to .NET 8
framework.&%23160;<span style=""background&%2358;white;"">We have prioritized them such
that we can first target tier 1 applications to ensure their workspace is setup
in Visual Studio Code. Our timeline to finish all repos for .NET exit
initiative extends until end of Q2. I’m working to arrange and pin a date for
each of the repos.</span></p><br></div></div>","82"
"Underwriting Systems","Core Insurance Platforms","ART-AutomationMonitor","https://dev.azure.com/geico/Underwriting%20Systems/_git/ART-AutomationMonitor","Moturi, Mounika","Immediately Archive","2/16/2024","Completed",,"83"
"Underwriting Systems","Core Insurance Platforms","ART-AZU-ARTS-GoldCopy","https://dev.azure.com/geico/Underwriting%20Systems/_git/ART-AZU-ARTS-GoldCopy","Moturi, Mounika","Plan to Sunset","12/31/2029","Not Started","<div class=""ExternalClassC2CC5421630B47FF8669B2BC96B64420""><div style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;font-size&%2358;11pt;color&%2358;rgb(0, 0, 0);""><span style=""background&%2358;white;""></span></div><p style=""margin&%2358;0in;color&%2358;black;""><span style=""background&%2358;white;"">Ratabase (CGI Vendor product) is used to calculate
policy premiums, it will be replaced by PACE/GTR and Ratabase can only be
sunset when all states and all lines of business are fully using GTR to get a
policy rated.</span></p><p style=""margin&%2358;0in;"">&%23160;</p><p style=""margin&%2358;0in;color&%2358;black;""><p style=""margin&%2358;0in;color&%2358;black;"">Given
the Vendor support is limited to .NET Framework 4.5.2, current codebase cannot
be upgraded to using .NET 6 or higher.</p></p><div style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;font-size&%2358;11pt;color&%2358;rgb(0, 0, 0);""></div></div>","84"
"Underwriting Systems","Core Insurance Platforms","ART-AZU-GoldCopyRebuild","https://dev.azure.com/geico/Underwriting%20Systems/_git/ART-AZU-GoldCopyRebuild","Moturi, Mounika","Plan to refactor into .NET Open Source","6/30/2024","Not Started","<div class=""ExternalClass0F4895C8590F43D1A6FD7EC2B01B8FF6""><div style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;font-size&%2358;11pt;color&%2358;rgb(0, 0, 0);"">Underwriting
Systems/Ratabase team owns 61 repos that are to be updated to .NET 8
framework.&%23160;<span style=""background&%2358;white;"">We have prioritized them such
that we can first target tier 1 applications to ensure their workspace is setup
in Visual Studio Code. Our timeline to finish all repos for .NET exit
initiative extends until end of Q2. I’m working to arrange and pin a date for
each of the repos.</span><br></div></div>","85"
"Underwriting Systems","Core Insurance Platforms","ART-AZU-GPSSIS","https://dev.azure.com/geico/Underwriting%20Systems/_git/ART-AZU-GPSSIS","Moturi, Mounika","Plan to refactor into .NET Open Source","6/30/2024","Not Started","<div class=""ExternalClass6792A4B6B3984E98986C15D377F9A237""><div style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;font-size&%2358;11pt;color&%2358;rgb(0, 0, 0);"">Underwriting
Systems/Ratabase team owns 61 repos that are to be updated to .NET 8
framework.&%23160;<span style=""background&%2358;white;"">We have prioritized them such
that we can first target tier 1 applications to ensure their workspace is setup
in Visual Studio Code. Our timeline to finish all repos for .NET exit
initiative extends until end of Q2. I’m working to arrange and pin a date for
each of the repos.</span><br></div></div>","86"
"Underwriting Systems","Core Insurance Platforms","ART-AzureArts","https://dev.azure.com/geico/Underwriting%20Systems/_git/ART-AzureArts","Moturi, Mounika","Immediately Archive","2/16/2024","Completed",,"87"
"Underwriting Systems","Core Insurance Platforms","ART-DeploymentManager","https://dev.azure.com/geico/Underwriting%20Systems/_git/ART-DeploymentManager","Moturi, Mounika","Immediately Archive","2/16/2024","Completed",,"88"
"Underwriting Systems","Core Insurance Platforms","ART-Emailer","https://dev.azure.com/geico/Underwriting%20Systems/_git/ART-Emailer","Moturi, Mounika","Immediately Archive","2/16/2024","Completed",,"89"
"Underwriting Systems","Core Insurance Platforms","ART-FTPUtility","https://dev.azure.com/geico/Underwriting%20Systems/_git/ART-FTPUtility","Moturi, Mounika","Immediately Archive","2/16/2024","Completed",,"90"
"Underwriting Systems","Core Insurance Platforms","ART-GoldCopyRebuild","https://dev.azure.com/geico/Underwriting%20Systems/_git/ART-GoldCopyRebuild","Moturi, Mounika","Plan to refactor into .NET Open Source","6/30/2024","Not Started","<div class=""ExternalClassF96CC05994994108B62BD1D832EDE6C8""><div style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;font-size&%2358;11pt;color&%2358;rgb(0, 0, 0);"">Underwriting
Systems/Ratabase team owns 61 repos that are to be updated to .NET 8
framework.&%23160;<span style=""background&%2358;white;"">We have prioritized them such
that we can first target tier 1 applications to ensure their workspace is setup
in Visual Studio Code. Our timeline to finish all repos for .NET exit
initiative extends until end of Q2. I’m working to arrange and pin a date for
each of the repos.</span><br></div></div>","91"
"Underwriting Systems","Core Insurance Platforms","ART-HvtARTS","https://dev.azure.com/geico/Underwriting%20Systems/_git/ART-HvtARTS","Moturi, Mounika","Plan to refactor into .NET Open Source","6/30/2024","Not Started","<div class=""ExternalClassD385BDB90F194F7EBDFC6AB4F252CF95""><div style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;font-size&%2358;11pt;color&%2358;rgb(0, 0, 0);"">Underwriting
Systems/Ratabase team owns 61 repos that are to be updated to .NET 8
framework.&%23160;<span style=""background&%2358;white;"">We have prioritized them such
that we can first target tier 1 applications to ensure their workspace is setup
in Visual Studio Code. Our timeline to finish all repos for .NET exit
initiative extends until end of Q2. I’m working to arrange and pin a date for
each of the repos.</span><br></div></div>","92"
"Underwriting Systems","Core Insurance Platforms","ART-HVT-ARTS-GoldCopy","https://dev.azure.com/geico/Underwriting%20Systems/_git/ART-HVT-ARTS-GoldCopy","Moturi, Mounika","Plan to Sunset","12/31/2029","Not Started","<div class=""ExternalClassF76FCF6FDEA6482AAC593F276B7E6F83""><div style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;font-size&%2358;11pt;color&%2358;rgb(0, 0, 0);""><p style=""margin&%2358;0in;color&%2358;black;""><span style=""background&%2358;white;"">Ratabase (CGI Vendor product) is used to calculate
policy premiums, it will be replaced by PACE/GTR and Ratabase can only be
sunset when all states and all lines of business are fully using GTR to get a
policy rated.</span></p><p style=""margin&%2358;0in;"">&%23160;</p><p style=""margin&%2358;0in;color&%2358;black;""><p style=""margin&%2358;0in;color&%2358;black;"">Given
the Vendor support is limited to .NET Framework 4.5.2, current codebase cannot
be upgraded to using .NET 6 or higher.</p></p><br></div></div>","93"
